feature_index,feature_name,family,short_definition,exact_formula_or_algorithm,required_inputs,normalization_or_scale,output_type,expected_range_if_defined,missing_case_behavior,numerical_safeguard,deterministic,supporting_artifact,provenance_status,notes
11,maximum_peak_width,Morphology,Maximum half-prominence width.,max_j w_j,full periodogram; detected peaks,frequency,float,>=0,0 when none,same width contract,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
12,peak_width_variability,Morphology,Population coefficient of variation of widths.,"std_pop(w)/max(|mean(w)|,1e-12)",detected peak widths,dimensionless,float,>=0,0 for <=1 width,epsilon denominator floor,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
13,average_prominence,Morphology,Mean detected-peak prominence.,mean(prominence_j),detected peaks,source-power unit,float,>=0,0 when none,find_peaks prominence property,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
14,maximum_prominence,Morphology,Maximum detected-peak prominence.,max(prominence_j),detected peaks,source-power unit,float,>=0,0 when none,find_peaks prominence property,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
15,prominence_variability,Morphology,Population coefficient of variation of prominences.,"std_pop(prominence)/max(|mean(prominence)|,1e-12)",detected peaks,dimensionless,float,>=0,0 for <=1 value,epsilon denominator floor,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
16,peak_height_variability,Morphology,Population coefficient of variation of detected peak heights.,"std_pop(height)/max(|mean(height)|,1e-12)",detected peaks,dimensionless,float,>=0,0 for <=1 value,epsilon denominator floor,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
17,mean_peak_separation,Morphology,Mean successive separation after sorting detected frequencies.,mean(diff(sort(f_peak))),detected peak frequencies,frequency,float,>=0,0 for <2 peaks,strictly positive input frequency grid,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
18,peak_separation_variability,Morphology,Population coefficient of variation of successive separations.,"std_pop(d)/max(|mean(d)|,1e-12)",successive peak separations,dimensionless,float,>=0,0 for fewer than two separations,epsilon denominator floor,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_morphology.py,FROZEN_ARTIFACT_VERIFIED,
19,has_harmonic_structure,Harmonic Structure,Indicator that the canonical family contains at least one member.,int(N_member >= 1),canonical harmonic members,boolean-like,integer,0 or 1,0 for empty family,executed v2 adapter,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
20,harmonic_count,Harmonic Structure,Canonical harmonic-family member count.,N_member,canonical harmonic members,count,integer,>=0,0 for empty family,executed v2 adapter,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
21,fundamental_frequency,Harmonic Structure,Legacy-named operational-reference frequency.,f_ref,selected operational reference,frequency,float,positive frozen frequency,reference-selection fallbacks upstream,does not assert a physical fundamental,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
22,fundamental_power,Harmonic Structure,Power of the operational reference.,P_ref,selected operational reference,source-power unit,float,not formally bounded,reference-selection fallbacks upstream,legacy name; operational quantity,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
23,fundamental_dominance,Harmonic Structure,Reciprocal of one plus summed member/reference power ratios.,"1/(1+sum_j r_j), r_j=P_j/P_ref",canonical members; operational reference,dimensionless,float,"(0,1] for nonnegative ratios",1 for empty family,executed adapter; differs from Stage 22.13 prose registry,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
24,first_harmonic_ratio,Harmonic Structure,Power ratio for canonical member of order 2.,r_j where harmonic_order=2,canonical harmonic members,dimensionless,float,>=0,0 if order 2 absent,first matching canonical member,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
25,strongest_harmonic_ratio,Harmonic Structure,Largest canonical-member power ratio.,max_j r_j,canonical harmonic members,dimensionless,float,>=0,0 for empty family,deterministic max,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
26,harmonic_complexity,Harmonic Structure,Sum of canonical-member power ratios.,sum_j r_j,canonical harmonic members,dimensionless,float,>=0,0 for empty family,executed adapter; differs from Stage 22.13 prose registry,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
27,harmonic_power_fraction,Harmonic Structure,Bounded transform of summed member power ratios.,"R/(1+R), R=sum_j r_j",canonical harmonic members,dimensionless,float,"[0,1)",0 for empty family,executed adapter; differs from Stage 22.13 prose registry,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
28,mean_harmonic_deviation,Harmonic Structure,Mean member residual normalized by Rayleigh resolution.,mean_j normalized_resolution_residual_j,canonical harmonic members,dimensionless,float,>=0,0 for empty family,member residuals are upstream frozen matches,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,Legacy fundamental_* identifiers denote the operational reference where applicable.
29,normalized_spectral_entropy,Complexity,Normalized Shannon entropy of the nonnegative power distribution.,"-sum_{q_i>0} q_i ln(q_i)/ln(N), q_i=P_i/sum(P)",full periodogram power,dimensionless,float,"[0,1]",reject total power <=1e-12,zero probabilities omitted; natural log,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_complexity.py,FROZEN_ARTIFACT_VERIFIED,
30,spectral_gini_index,Complexity,Gini inequality of nonnegative power bins.,2 sum_i i P_(i)/(N sum P)-(N+1)/N,sorted nonnegative power,dimensionless,float,"[0,1]",reject total power <=1e-12,bounded finite check,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_complexity.py,FROZEN_ARTIFACT_VERIFIED,
31,normalized_power_variance,Complexity,"Squared distance of normalized power from uniform, normalized to unit maximum.",N/(N-1) sum_i(q_i-1/N)^2,normalized full-spectrum power,dimensionless,float,"[0,1]",requires N>=3 and positive total,bounded finite check,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_complexity.py,FROZEN_ARTIFACT_VERIFIED,
32,power_skewness,Complexity,Population standardized third central moment of nonnegative power.,mean(((P-mean(P))/std_pop(P))^3),nonnegative power,dimensionless,float,not bounded,0 when std <= float tiny,tiny negative powers corrected to zero,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_complexity.py,FROZEN_ARTIFACT_VERIFIED,
33,power_excess_kurtosis,Complexity,Population standardized fourth central moment minus 3.,mean(((P-mean(P))/std_pop(P))^4)-3,nonnegative power,dimensionless,float,not bounded,0 when std <= float tiny,tiny negative powers corrected to zero,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_complexity.py,FROZEN_ARTIFACT_VERIFIED,
34,robust_power_dispersion,Complexity,MAD-based dispersion relative to mean power.,1.4826 MAD(P)/mean(P),nonnegative power,dimensionless,float,>=0,positive-total contract supplies positive mean,reject significant negative or near-zero total power,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_complexity.py,FROZEN_ARTIFACT_VERIFIED,
35,top_power_concentration,Complexity,Excess concentration in strongest ceil(0.10 N) bins over uniform reference.,"(sum(top_k q)-k/N)/(1-k/N), k=max(1,ceil(0.10N))",normalized full-spectrum power,dimensionless,float,"[0,1]",0 if denominator <=1e-12,top fraction=0.10,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/components/spectral_complexity.py,FROZEN_ARTIFACT_VERIFIED,
36,median_profile_similarity,Stability,Median fixed-grid Jensen-Shannon profile similarity.,"median_b[clip(1-JS(q_ref,q_b)/ln2,0,1)]",reference and perturbed power profiles,dimensionless,float,"[0,1]",execution fails on perturbation/profile error,profiles add 1e-12 then normalize,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
37,profile_similarity_variability,Stability,Population standard deviation of profile similarities.,std_pop(similarity_b),perturbation similarities,dimensionless,float,>=0,execution requires all 100 successes,ddof=0,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
38,dominant_peak_retention_rate,Stability,Fraction of perturbations whose dominant frequency stays within one Rayleigh element.,mean_b[|f*_b-f*_ref|/(1/T) <= 1],perturbed maxima; frozen dominant; baseline,dimensionless,float,"[0,1]",execution requires all 100 successes,inclusive one-Rayleigh criterion,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
39,median_normalized_frequency_drift,Stability,Median dominant-frequency drift in Rayleigh units.,median_b(|f*_b-f*_ref|/(1/T)),perturbed maxima; frozen dominant; baseline,dimensionless,float,>=0,execution requires all 100 successes,fixed frozen frequency grid,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
40,p90_normalized_frequency_drift,Stability,90th percentile dominant-frequency drift in Rayleigh units.,percentile_90_linear(|f*_b-f*_ref|/(1/T)),perturbed maxima; frozen dominant; baseline,dimensionless,float,>=0,execution requires all 100 successes,NumPy linear percentile,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
41,dominant_power_stability,Stability,Exponential transform of median absolute dominant-power log change.,exp(-median_b(|ln((P*_b+1e-12)/(P*_ref+1e-12))|)),perturbed and frozen dominant powers,dimensionless,float,"(0,1]",execution requires all 100 successes,epsilon=1e-12,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
42,dominant_power_log_variability,Stability,Population standard deviation of absolute dominant-power log changes.,std_pop(|ln((P*_b+1e-12)/(P*_ref+1e-12))|),perturbed and frozen dominant powers,dimensionless,float,>=0,execution requires all 100 successes,ddof=0; epsilon=1e-12,YES,outputs/k2_e2_pisd_v2/pisd_v2_feature_registry.json; src/pisd/execution/pisd_v2_orchestrator.py,FROZEN_ARTIFACT_VERIFIED,
