feature_index,feature_name,feature_group,short_definition,exact_formula_or_algorithm,required_graph_inputs,weighting_semantics,directionality_semantics,expected_range_if_defined,missing_case_behavior,numerical_safeguard,supporting_artifact,provenance_status,notes
11,mean_total_degree,CONTINUOUS,mean total degree,2E/N,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
12,median_total_degree,CONTINUOUS,median total degree,median(in_degree+out_degree),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
13,maximum_in_degree,COUNT,maximum in degree,max(in_degree),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
14,maximum_out_degree,COUNT,maximum out degree,max(out_degree),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
15,total_degree_std,CONTINUOUS,total degree std,population_std(total_degree),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
16,total_degree_coefficient_of_variation,CONTINUOUS,total degree coefficient of variation,total_degree_std/mean_total_degree if mean>0 else 0,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
17,in_degree_std,CONTINUOUS,in degree std,population_std(in_degree),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
18,out_degree_std,CONTINUOUS,out degree std,population_std(out_degree),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_FINITE,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
19,weak_component_count,COUNT,weak component count,count(weak_components),UNDIRECTED_SIMPLE_TOPOLOGY_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
20,largest_weak_component_fraction,CONTINUOUS,largest weak component fraction,max_weak_size/N,UNDIRECTED_SIMPLE_TOPOLOGY_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,"[0,1]",EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
21,strong_component_count,COUNT,strong component count,count(strong_components),DIRECTED_SIMPLE_TOPOLOGY_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
22,largest_strong_component_fraction,CONTINUOUS,largest strong component fraction,max_strong_size/N,DIRECTED_SIMPLE_TOPOLOGY_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,"[0,1]",EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
23,reciprocal_edge_pair_fraction,CONTINUOUS,reciprocal edge pair fraction,"count((u,v) with (v,u))/U",DIRECTED_SIMPLE_TOPOLOGY_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,"[0,1]",EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
24,isolated_node_fraction,CONTINUOUS,isolated node fraction,count(total_degree=0)/N,CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,"[0,1]",EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
25,reference_node_in_degree,COUNT,reference node in degree,in_degree(reference),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
26,reference_node_out_degree,COUNT,reference node out degree,out_degree(reference),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
27,reference_node_total_degree,COUNT,reference node total degree,total_degree(reference),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
28,dominant_node_in_degree,COUNT,dominant node in degree,in_degree(dominant),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
29,dominant_node_out_degree,COUNT,dominant node out degree,out_degree(dominant),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
30,dominant_node_total_degree,COUNT,dominant node total degree,total_degree(dominant),CANONICAL_MULTIDIGRAPH_VIEW,unweighted multiplicity unless simple view named,directed; weak connectivity uses undirected simple projection,NONNEGATIVE_INTEGER,EMPTY_GRAPH_INVALID; future-safe zero conventions apply,finite exact identities,outputs/k2_e2_graph_core/graph_core_feature_registry.json; src/graph/core/graph_core_extraction.py,FROZEN_ARTIFACT_VERIFIED,Multiedges count in E and degrees
