feature_index,feature_name,feature_group,short_definition,exact_formula_or_algorithm,required_graph_inputs,weighting_semantics,directionality_semantics,expected_range_if_defined,missing_case_behavior,numerical_safeguard,supporting_artifact,provenance_status,notes
11,node_frequency_std,FREQUENCY,node frequency std,population SD(f),power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
12,reference_frequency_relative_position,REFERENCE_DOMINANT,reference frequency relative position,(f_ref-f_min)/(f_max-f_min); 0 if span=0,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
13,dominant_frequency_relative_position,REFERENCE_DOMINANT,dominant frequency relative position,(f_dom-f_min)/(f_max-f_min); 0 if span=0,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
14,reference_to_dominant_frequency_ratio,REFERENCE_DOMINANT,reference to dominant frequency ratio,f_ref/f_dom,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
15,reference_to_dominant_power_ratio,REFERENCE_DOMINANT,reference to dominant power ratio,P_ref/P_dom,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
16,high_confidence_edge_fraction,CONFIDENCE,high confidence edge fraction,count(HIGH)/E; 0 if E=0,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
17,moderate_confidence_edge_fraction,CONFIDENCE,moderate confidence edge fraction,count(MODERATE)/E; 0 if E=0,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
18,low_confidence_edge_fraction,CONFIDENCE,low confidence edge fraction,count(LOW)/E; 0 if E=0,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
19,mean_confidence_projection,CONFIDENCE,mean confidence projection,"mean map HIGH=1, MODERATE=0.5, LOW=0.25; 0 if E=0",; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
20,harmonic_edge_fraction,RELATIONSHIP_TYPE,harmonic edge fraction,count(HARMONIC)/E,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
21,subharmonic_edge_fraction,RELATIONSHIP_TYPE,subharmonic edge fraction,count(SUBHARMONIC)/E,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
22,rational_edge_fraction,RELATIONSHIP_TYPE,rational edge fraction,count(RATIONAL)/E,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
23,sum_combination_edge_fraction,RELATIONSHIP_TYPE,sum combination edge fraction,count(SUM_COMBINATION)/E,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
24,difference_combination_edge_fraction,RELATIONSHIP_TYPE,difference combination edge fraction,count(DIFFERENCE_COMBINATION)/E,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
25,sideband_edge_fraction,RELATIONSHIP_TYPE,sideband edge fraction,count(SIDEBAND_PAIR)/E,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
26,mean_normalized_relationship_residual,RESIDUAL,mean normalized relationship residual,mean defined residual; 0 if none,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
27,median_normalized_relationship_residual,RESIDUAL,median normalized relationship residual,median defined residual; 0 if none,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
28,p90_normalized_relationship_residual,RESIDUAL,p90 normalized relationship residual,linear p90 defined residual; 0 if none,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
29,mean_relationship_similarity_weight,RESIDUAL,mean relationship similarity weight,mean 1/(1+residual); 0 if none,; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_edge_features.py,FROZEN_ARTIFACT_VERIFIED,
30,canonical_harmonic_node_fraction,CANONICAL_HARMONIC,canonical harmonic node fraction,canonical harmonic nodes/N,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
31,canonical_harmonic_power_fraction,CANONICAL_HARMONIC,canonical harmonic power fraction,sum canonical harmonic power/sum node power; 0 if total=0,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
32,mean_canonical_harmonic_order,CANONICAL_HARMONIC,mean canonical harmonic order,mean order; 0 if none,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
33,maximum_canonical_harmonic_order,CANONICAL_HARMONIC,maximum canonical harmonic order,max order; 0 if none,power|frequency|canonical role annotations; ,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
34,alias_advisory_node_fraction,ALIAS_SIDEBAND,alias advisory node fraction,alias-advisory nodes/N,power|frequency|canonical role annotations; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
35,primary_sideband_node_fraction,ALIAS_SIDEBAND,primary sideband node fraction,primary-sideband nodes/N,power|frequency|canonical role annotations; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
36,primary_sideband_edge_fraction,ALIAS_SIDEBAND,primary sideband edge fraction,selected SIDEBAND_PAIR edges/E; 0 if E=0,power|frequency|canonical role annotations; edge_type|confidence_class|normalized_resolution_residual|relationship_similarity_weight|primary_structural_sideband_selected,explicit confidence/similarity only where named,edge fractions use projected directed multiedges,SOURCE_FORMULA_DOMAIN,DEFINED_EMPTY_EDGE_CASE where applicable; EMPTY_GRAPH_INVALID,finite validation; typed zero fallbacks,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json; src/graph/extended/graph_extended_node_features.py,FROZEN_ARTIFACT_VERIFIED,
