table_number,title,supplementary_section,source_artifacts,values_already_frozen,producible_without_recomputation,formats,basename,provenance_caveat
Table S11,PISD stability protocol,S3,outputs/k2_e2_pisd_v2_inputs/pisd_stability_input_registry.json | outputs/k2_e2_pisd_v2_audit/pisd_stability_feature_audit.json | outputs/k2_e2_pisd_v2/pisd_v2_execution_manifest.json,true,true,csv | json | tex,table_s11_pisd_stability_protocol,Uses 100 perturbations and persisted object-specific streams; no perturbation is recomputed here.
Table S12,Spectral graph relationship projection contract,S4,outputs/k2_e2_spectral_graphs/spectral_graph_construction_configuration.json | outputs/k2_e2_frequency_relationships/frequency_relationship_configuration.json,true,true,csv | json | tex,table_s12_spectral_graph_relationship_projection_contract,Projected directed edges retain upstream relationship identity.
Table S13,Ordered Graph-Core feature registry,S4,outputs/k2_e2_graph_core/graph_core_feature_registry.json,true,true,csv | json | tex,table_s13_ordered_graph_core_feature_registry,Graph-Core is topology-only and contains exactly 30 ordered features.
Table S14,Ordered Graph-Extended feature registry,S4,outputs/k2_e2_graph_extended/graph_extended_feature_registry.json,true,true,csv | json | tex,table_s14_ordered_graph_extended_feature_registry,Graph-Extended contains 36 operational physics-annotated summaries without physical-confirmation claims.
Table S15,Ordered Graph-All feature registry,S4,outputs/k2_e2_graph_core/graph_core_feature_registry.json | outputs/k2_e2_graph_extended/graph_extended_feature_registry.json | outputs/k2_e2_multiview_dataset/raw_multiview_dataset_manifest.json,true,true,csv | json | tex,table_s15_ordered_graph_all_feature_registry,Graph-All is the exact Core-then-Extended concatenation; no matrix is recomputed.
Table S16,Seven-view representation contract,S5,outputs/results/stage_21_8_publication_supplementary_package/supplementary_registries/final_representation_registry.json | outputs/k2_e2_multiview_dataset/raw_multiview_dataset_manifest.json,true,true,csv | json | tex,table_s16_seven_view_representation_contract,PISD_PLUS_GRAPH_ALL is the predefined 108-dimensional PRIMARY view.
Table S17,Repeated object-level holdout contract,S5,outputs/k2_e2_experimental_boundary/object_level_resampling_protocol.json | outputs/k2_e2_experiment_inputs/object_level_split_registry.json,true,true,csv | json | tex,table_s17_repeated_object_level_holdout_contract,Thirty deterministic splits use astronomical objects as the independent units.
Table S18,Experiment seed contract,S5,outputs/k2_e2_experimental_boundary/experiment_seed_policy.json | outputs/k2_e2_experiment_inputs/object_level_split_registry.json,true,true,csv | json | tex,table_s18_experiment_seed_contract,Child seeds depend on the complete frozen experiment identity.
Table S19,Reference-fitted preprocessing contract,S5,outputs/k2_e2_experimental_boundary/preprocessing_policy_registry.json,true,true,csv | json | tex,table_s19_reference_fitted_preprocessing_contract,Evaluation objects never affect fitting; zero-scale columns remain in schema and map to zero.
Table S20,Frozen detector configuration grid,S5,outputs/experiments/isolation_forest/stage_16_1/isolation_forest_hyperparameter_registry.json | outputs/experiments/lof/stage_17_1/local_outlier_factor_configuration_registry.json | outputs/experiments/autoencoder/stage_18_1/autoencoder_configuration_registry.json | outputs/results/stage_22_13_manuscript_evidence_extraction/detector_configuration_table.csv,true,true,csv | json | tex,table_s20_frozen_detector_configuration_grid,Configuration rows are frozen transcriptions; no model is rerun.
Table S21,Complete representation-dependent rank agreement,S6,outputs/experiments/isolation_forest/stage_16_3/representation_agreement_registry.json | outputs/experiments/lof/stage_17_3/lof_representation_agreement_registry.json | outputs/experiments/autoencoder/stage_18_3/autoencoder_representation_agreement_summary.json | outputs/results/stage_21_5_final_results_freeze/registries/representation_findings.json,true,true,csv | json | tex,table_s21_complete_representation_dependent_rank_agreement,"Agreement is descriptive rank concordance, not classification accuracy."
Table S22,Cross-model agreement and predefined top-k overlap,S6,outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s4_cross_model_agreement.csv | outputs/results/stage_21_5_final_results_freeze/registries/cross_model_agreement_findings.json,true,true,csv | json | tex,table_s22_cross_model_agreement_and_predefined_top_k_overlap,Top-k overlap is descriptive and not a classification threshold.
Table S23,Complete PRIMARY consensus ranking,S6,outputs/experiments/cross_model/stage_19_3/cross_model_primary_consensus_ranked.csv | outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s2_complete_object_rankings.csv,true,true,csv | json | tex,table_s23_complete_primary_consensus_ranking,Rank 1 denotes the most unusual placement; no object is labeled a confirmed anomaly.
Table S24,Complete frozen robustness summary,S6,outputs/results/stage_21_8_publication_supplementary_package/supplementary_tables/table_s3_robustness.csv | outputs/results/stage_21_5_final_results_freeze/registries/robustness_findings.json,true,true,csv | json | tex,table_s24_complete_frozen_robustness_summary,"Robustness quantifies rank sensitivity, not detector superiority."
Table S25,Frozen scientific-inspection cohort,S7,outputs/results/stage_21_8_publication_supplementary_package/supplementary_registries/representative_case_registry.json | outputs/results/stage_21_5_final_results_freeze/registries/representative_case_evidence_registry.json,true,true,csv | json | tex,table_s25_frozen_scientific_inspection_cohort,Cases were selected from frozen evidence and are not confirmed anomalies.
Table S26,Cross-case scientific-inspection comparison,S7,outputs/experiments/scientific_inspection/stage_20_4 | outputs/results/stage_21_5_final_results_freeze/registries/representative_case_evidence_registry.json,true,true,csv | json | tex,table_s26_cross_case_scientific_inspection_comparison,External context is post-freeze annotation and cannot alter ranks or create a combined anomaly score.
Table S27,Known reproducibility and provenance limitations,S8,outputs/results/stage_22_13_manuscript_evidence_extraction/manuscript_open_items.csv | outputs/results/stage_22_13_manuscript_evidence_extraction/manuscript_evidence_report.md | outputs/results/stage_21_9_final_scientific_publication_freeze/registries/final_supplementary_registry.json,true,true,csv | json | tex,table_s27_known_reproducibility_and_provenance_limitations,"Includes execution-bound, corroborated, and unresolved items with explicit status; it is not a new scientific result."
